"T1";"T21";"T22";"T23";"T31";"T32";"T41";"T42";"T51";"T52";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
3;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
3;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
6;"1";"1";"0";"0";"0";"0111";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"0";"1"
3;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0"
4;"1";"1";"0";"0";"0";"1111";"0000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0";"1";"1";"0"
30;"1";"1";"1";"1";"1";"0010";"0000";"1";"0";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
2;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
11;"1";"1";"1";"1";"1";"1111";"0011";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0"
14;"1";"1";"0";"0";"0";"1101";"1000";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
3;"0";"0";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
13;"1";"1";"1";"1";"1";"0011";"0000";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
5;"1";"0";"0";"0";"0";"0001";"0000";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
0;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
6;"1";"0";"0";"1";"0";"1100";"0010";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
0;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"1";"1";"0";"1";"1";"0000";"0000";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
29;"1";"1";"1";"1";"0";"1111";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
13;"1";"1";"1";"1";"1";"1111";"1011";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0"
9;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"1"
30;"1";"1";"1";"1";"1";"1011";"1000";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
20;"1";"1";"1";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
5;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
13;"1";"1";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
3;"1";"1";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
24;"1";"1";"0";"1";"0";"1111";"1111";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
8;"1";"1";"0";"1";"0";"1010";"1000";"0";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1"
26;"1";"1";"0";"1";"0";"1111";"0011";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"1"
16;"1";"1";"0";"1";"0";"1110";"1100";"1";"0";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1"
10;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
16;"1";"0";"0";"1";"0";"1111";"0010";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"1";"1";"0"
24;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
27;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"0";"1";"1";"1";"1";"1";"1";"1";"1";"0";"1"
0;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
0;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0"
16;"1";"1";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
29;"1";"1";"1";"1";"0";"1111";"1110";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1"
19;"1";"0";"0";"1";"0";"1111";"1010";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"0";"0";"0"
18;"1";"1";"0";"1";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0"
7;"1";"1";"0";"1";"0";"0000";"0000";"1";"0";"1";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0"
0;"0";"0";"0";"0";"0";"0000";"0000";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
0;"1";"1";"0";"1";"1";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0"
11;"1";"1";"1";"1";"0";"0000";"0000";"1";"0";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1"
100;"1";"1";"1";"1";"1";"1111";"1111";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
29;"1";"1";"1";"1";"1";"1111";"1111";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0";"0"
14;"1";"1";"0";"1";"1";"1111";"0011";"1";"1";"1";"1";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0"
18;"1";"1";"0";"1";"1";"1110";"1001";"1";"0";"1";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
15;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"1";"1";"1";"1";"1";"1";"0";"0";"0"
1;"0";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
10;"1";"1";"0";"1";"1";"0000";"0000";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
10;"1";"0";"0";"1";"0";"1011";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0"
9;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
2;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
3;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
9;"1";"0";"0";"0";"0";"0000";"0000";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
